Region_ID,Region,City,State,Country,Zone,Pin_Code
REG1,South,Delhi,MH,India,Tier2,331645
REG2,South,Bangalore,TN,India,Tier1,494856
REG3,North,Delhi,DL,India,Tier1,939950
REG4,South,Delhi,GJ,India,Tier1,481909
REG5,East,Delhi,MH,India,Tier3,178900
REG6,North,Bangalore,MH,India,Tier1,892473
REG7,West,Mumbai,GJ,India,Tier1,365200
REG8,North,Pune,DL,India,Tier2,426895
REG9,South,Delhi,KA,India,Tier3,433244
REG10,South,Pune,GJ,India,Tier1,589206
REG11,East,Pune,MH,India,Tier2,340068
REG12,East,Delhi,GJ,India,Tier1,737164
REG13,East,Delhi,TN,India,Tier2,381305
REG14,East,Mumbai,TN,India,Tier3,443064
REG15,East,Pune,DL,India,Tier2,352985
REG16,West,Pune,DL,India,Tier2,643679
REG17,West,Mumbai,TN,India,Tier3,517420
REG18,North,Chennai,GJ,India,Tier2,860850
REG19,South,Pune,DL,India,Tier2,274947
REG20,North,Bangalore,DL,India,Tier1,130746
