Order_ID,Customer_ID,Product_ID,Region_ID,Date_ID,Sales,Quantity,Profit,Discount,Cost_Price,Selling_Price,Shipping_Cost,Order_Priority,Delivery_Days
ORD1,CUST206,PROD190,REG5,2023-04-02,1016.58,2,603.53,0.06,2569.38,4200.91,231.18,Low,5
ORD2,CUST282,PROD186,REG10,2023-08-22,2924.83,7,402.75,0.41,2662.58,2559.52,465.95,High,2
ORD3,CUST1,PROD127,REG20,2023-03-19,3257.45,7,225.28,0.34,2670.3,4632.48,449.51,High,5
ORD4,CUST15,PROD136,REG15,2023-07-21,2353.35,5,744.82,0.22,1457.73,2178.65,333.67,High,7
ORD5,CUST168,PROD171,REG12,2023-12-20,2834.09,6,923.41,0.2,2350.9,1154.07,478.86,Medium,7
ORD6,CUST276,PROD132,REG11,2023-12-07,4874.2,2,268.67,0.44,1227.7,1782.26,131.47,Low,1
ORD7,CUST138,PROD54,REG5,2023-02-08,3783.19,1,635.97,0.12,835.45,2293.62,392.73,High,7
ORD8,CUST182,PROD141,REG11,2023-08-21,1966.83,9,712.48,0.2,849.7,2092.71,358.33,Medium,4
ORD9,CUST233,PROD100,REG4,2023-05-21,2226.68,2,739.71,0.07,1959.21,3446.65,253.48,Low,4
ORD10,CUST67,PROD76,REG9,2023-02-12,3592.87,2,277.52,0.34,168.75,2510.07,188.85,Medium,3
ORD11,CUST284,PROD119,REG14,2023-11-21,559.19,5,111.32,0.09,1184.02,3696.29,94.85,High,3
ORD12,CUST259,PROD188,REG1,2023-10-09,3225.26,4,721.37,0.5,2064.64,4950.11,323.51,Medium,5
ORD13,CUST126,PROD120,REG7,2023-12-11,660.36,6,448.76,0.48,2096.23,752.02,351.58,Medium,5
ORD14,CUST20,PROD163,REG16,2023-08-11,599.06,3,685.88,0.03,2616.76,3850.23,94.1,High,7
ORD15,CUST143,PROD70,REG16,2023-02-10,3366.68,1,67.84,0.04,2355.56,2196.61,88.14,Low,7
ORD16,CUST270,PROD51,REG6,2023-08-26,918.79,4,657.74,0.12,570.53,3094.37,358.21,Low,6
ORD17,CUST126,PROD22,REG15,2023-12-09,3847.12,5,295.49,0.16,759.55,1354.3,384.87,High,4
ORD18,CUST83,PROD112,REG11,2023-11-09,3777.89,9,879.07,0.4,2832.51,4480.82,330.95,High,7
ORD19,CUST62,PROD76,REG8,2023-07-29,1628.9,4,173.65,0.38,2012.82,2664.39,107.18,High,6
ORD20,CUST140,PROD172,REG19,2023-01-03,2897.24,1,451.11,0.09,830.53,1810.58,75.73,Low,3
ORD21,CUST157,PROD4,REG18,2023-08-27,3261.19,9,969.46,0.37,551.87,2314.19,264.49,High,6
ORD22,CUST237,PROD85,REG15,2023-05-14,4076.18,3,95.27,0.19,486.7,3316.32,239.51,Medium,4
ORD23,CUST4,PROD7,REG6,2023-01-29,1087.18,4,406.46,0.16,2734.41,3175.8,476.46,Medium,2
ORD24,CUST11,PROD119,REG13,2023-10-05,3413.59,6,292.6,0.1,2339.67,4980.23,222.97,High,2
ORD25,CUST32,PROD130,REG10,2023-12-24,4132.16,3,91.85,0.28,899.8,3687.08,252.97,Low,4
ORD26,CUST254,PROD66,REG4,2023-04-11,2130.49,4,712.68,0.25,2254.39,173.85,73.93,Low,3
ORD27,CUST109,PROD97,REG19,2023-10-30,2519.11,8,566.82,0.45,2594.57,2140.18,480.73,High,7
ORD28,CUST92,PROD147,REG18,2023-04-14,2619.82,6,988.16,0.08,1860.34,3462.18,159.63,Medium,2
ORD29,CUST225,PROD182,REG17,2023-03-31,4702.71,9,235.33,0.01,2821.51,4675.75,303.21,Low,5
ORD30,CUST103,PROD8,REG20,2023-12-16,353.09,9,113.62,0.07,1836.55,756.08,437.07,Medium,2
ORD31,CUST115,PROD113,REG7,2023-01-23,2900.61,6,475.21,0.02,351.75,4224.24,72.32,Medium,6
ORD32,CUST286,PROD71,REG2,2023-12-20,2499.82,3,728.01,0.28,2968.68,1254.43,417.14,Medium,7
ORD33,CUST286,PROD175,REG17,2023-11-03,1784.76,5,211.09,0.39,2961.11,3944.2,182.64,Low,4
ORD34,CUST34,PROD101,REG3,2023-05-23,3382.59,6,201.52,0.49,2707.22,4184.15,319.42,High,7
ORD35,CUST42,PROD26,REG18,2023-12-04,3870.26,3,26.29,0.42,2208.79,2138.93,491.83,Medium,6
ORD36,CUST106,PROD113,REG8,2023-03-23,2746.29,3,617.24,0.08,2892.68,1669.62,322.3,High,2
ORD37,CUST178,PROD163,REG19,2023-12-25,304.03,8,590.8,0.49,2983.21,3503.86,460.24,High,5
ORD38,CUST26,PROD56,REG11,2023-01-04,1251.9,5,465.54,0.29,111.24,1863.3,144.24,High,4
ORD39,CUST182,PROD200,REG15,2023-03-31,200.15,5,709.14,0.41,534.77,4838.02,84.02,High,2
ORD40,CUST177,PROD113,REG18,2023-11-25,1706.11,3,68.72,0.01,2659.91,960.95,236.69,High,4
ORD41,CUST1,PROD192,REG8,2023-11-03,2393.47,3,668.33,0.1,394.16,4619.55,290.22,High,7
ORD42,CUST295,PROD140,REG15,2023-11-04,3944.39,3,196.63,0.46,1391.25,1966.88,29.53,Medium,3
ORD43,CUST264,PROD141,REG3,2023-01-20,2708.14,6,142.84,0.12,2502.47,2744.25,495.88,Medium,6
ORD44,CUST278,PROD50,REG19,2023-11-05,2439.39,2,895.92,0.27,2098.01,409.5,191.08,High,4
ORD45,CUST262,PROD80,REG17,2023-07-07,3519.95,7,691.69,0.36,2101.01,3659.43,42.98,High,7
ORD46,CUST16,PROD196,REG12,2023-10-07,185.34,9,638.43,0.05,1757.05,4997.33,103.48,High,7
ORD47,CUST120,PROD183,REG16,2023-07-06,3505.45,1,71.81,0.29,297.3,3031.43,448.97,Low,2
ORD48,CUST243,PROD70,REG12,2023-03-18,1628.6,4,109.37,0.11,839.83,4036.56,208.6,Low,6
ORD49,CUST159,PROD170,REG14,2023-06-13,2842.98,9,423.96,0.18,2301.59,2667.71,370.82,High,4
ORD50,CUST161,PROD160,REG14,2023-07-20,3073.35,2,778.41,0.22,2628.31,2129.27,97.21,Medium,6
ORD51,CUST173,PROD162,REG7,2023-08-18,992.5,4,19.17,0.37,1522.71,1931.89,314.45,High,6
ORD52,CUST169,PROD138,REG1,2023-11-23,1326.34,5,470.09,0.46,1756.99,616.61,386.43,Low,3
ORD53,CUST153,PROD96,REG8,2023-10-14,2936.21,7,208.22,0.48,1899.89,2224.54,359.23,Low,6
ORD54,CUST177,PROD104,REG13,2023-03-04,1386.85,9,894.65,0.19,1186.09,4773.37,412.07,Medium,3
ORD55,CUST288,PROD2,REG17,2023-06-21,1273.14,6,602.3,0.13,1582.73,2584.49,127.28,High,4
ORD56,CUST258,PROD20,REG10,2023-09-26,1859.25,2,690.68,0.14,1205.86,4224.69,100.07,Medium,3
ORD57,CUST19,PROD12,REG8,2023-12-19,4531.61,2,809.5,0.38,795.81,862.47,442.41,Medium,5
ORD58,CUST195,PROD73,REG8,2023-08-31,4359.13,7,592.02,0.42,1732.4,3198.99,192.97,High,7
ORD59,CUST272,PROD170,REG19,2023-08-16,2618.78,6,848.95,0.08,2788.56,3241.27,280.58,High,6
ORD60,CUST103,PROD24,REG1,2023-11-03,353.56,3,475.75,0.01,543.85,2095.12,412.45,High,6
ORD61,CUST172,PROD36,REG15,2023-02-04,4021.66,5,182.63,0.42,2294.6,1393.98,98.81,Medium,5
ORD62,CUST168,PROD59,REG5,2023-11-07,987.83,8,645.13,0.08,1296.45,2397.31,233.46,High,5
ORD63,CUST277,PROD30,REG19,2023-04-10,3376.83,6,976.68,0.47,1792.51,3348.16,202.08,Medium,2
ORD64,CUST130,PROD143,REG4,2023-03-25,4193.32,2,356.74,0.48,1814.72,4330.63,96.19,High,1
ORD65,CUST129,PROD2,REG12,2023-06-23,4827.5,1,804.68,0.29,97.44,1062.82,376.12,Low,7
ORD66,CUST174,PROD50,REG16,2023-03-20,721.54,8,680.5,0.24,2400.18,1924.11,497.67,High,1
ORD67,CUST242,PROD95,REG19,2023-09-09,2664.23,3,525.26,0.18,190.57,441.43,35.33,Medium,2
ORD68,CUST109,PROD168,REG16,2023-07-11,4267.99,5,152.99,0.33,254.81,2957.74,35.67,Medium,4
ORD69,CUST121,PROD156,REG18,2023-06-09,2734.29,3,840.45,0.19,1401.18,3186.81,115.03,Medium,3
ORD70,CUST155,PROD58,REG11,2023-09-19,3677.23,4,431.91,0.22,2301.91,2597.62,386.62,Medium,2
ORD71,CUST136,PROD20,REG2,2023-03-13,3948.75,3,785.12,0.31,2598.92,4088.97,498.91,Low,7
ORD72,CUST181,PROD33,REG4,2023-05-16,4199.32,6,595.71,0.02,2138.39,2330.56,297.7,Low,2
ORD73,CUST125,PROD12,REG13,2023-07-07,3366.01,3,258.03,0.11,2846.65,808.38,125.02,Medium,3
ORD74,CUST132,PROD112,REG12,2023-08-10,4498.92,6,181.83,0.01,188.63,2716.94,427.78,High,2
ORD75,CUST22,PROD180,REG9,2023-07-19,3274.18,2,740.66,0.38,2628.27,1112.65,234.02,High,4
ORD76,CUST84,PROD193,REG15,2023-08-10,4728.72,7,120.99,0.19,2433.56,1820.1,61.12,Medium,7
ORD77,CUST265,PROD189,REG16,2023-05-02,3183.56,9,225.45,0.21,169.44,2547.58,374.58,Medium,2
ORD78,CUST44,PROD120,REG7,2023-05-10,4374.9,8,866.65,0.27,2471.24,3641.45,59.65,High,1
ORD79,CUST124,PROD137,REG4,2023-12-30,3018.71,9,905.56,0.19,1587.99,3894.14,65.76,High,1
ORD80,CUST96,PROD40,REG2,2023-04-28,1787.31,1,102.58,0.41,1955.86,3632.15,466.17,Medium,7
ORD81,CUST77,PROD85,REG14,2023-09-09,4085.94,8,24.41,0.22,1600.32,649.96,411.16,High,2
ORD82,CUST73,PROD103,REG15,2023-04-22,2218.67,3,311.0,0.29,2321.92,4356.29,492.15,Low,4
ORD83,CUST187,PROD98,REG6,2023-07-14,720.07,8,137.0,0.49,1355.22,4156.59,117.34,High,7
ORD84,CUST59,PROD147,REG15,2023-06-20,4845.99,1,264.47,0.5,364.47,3678.17,363.23,High,6
ORD85,CUST294,PROD4,REG14,2023-06-24,4277.56,7,507.31,0.1,2306.45,864.97,231.65,High,1
ORD86,CUST48,PROD175,REG2,2023-03-01,2850.17,6,565.8,0.22,2072.57,584.74,386.55,Low,7
ORD87,CUST280,PROD169,REG16,2023-02-28,3386.0,2,980.76,0.24,2370.22,4355.78,158.97,High,2
ORD88,CUST199,PROD32,REG13,2023-07-05,4988.85,7,435.28,0.15,2481.81,1706.58,200.44,Medium,6
ORD89,CUST257,PROD171,REG14,2023-09-29,890.41,8,682.51,0.14,2010.53,1392.41,380.74,Low,6
ORD90,CUST234,PROD63,REG9,2023-07-30,2719.25,4,890.52,0.42,1382.0,2523.04,346.18,High,1
ORD91,CUST88,PROD24,REG6,2023-02-13,2015.8,2,160.37,0.48,1267.82,385.32,90.53,Low,1
ORD92,CUST60,PROD145,REG10,2023-04-20,2751.62,9,102.24,0.11,1283.47,212.79,30.24,Medium,1
ORD93,CUST9,PROD32,REG7,2023-07-08,606.55,1,303.78,0.45,1855.94,4372.33,119.2,High,1
ORD94,CUST259,PROD76,REG18,2023-07-06,2259.64,2,138.38,0.2,916.07,4232.78,248.2,Medium,4
ORD95,CUST132,PROD84,REG16,2023-11-03,2361.17,8,169.41,0.33,2686.3,4854.12,452.7,Low,2
ORD96,CUST143,PROD108,REG16,2023-06-11,3019.87,6,350.14,0.14,2108.45,881.22,28.77,Low,4
ORD97,CUST80,PROD7,REG17,2023-03-09,3345.64,4,318.22,0.47,1309.79,2030.35,54.02,Medium,2
ORD98,CUST196,PROD19,REG15,2023-11-11,2991.73,9,764.73,0.39,1422.24,3374.15,273.35,Low,3
ORD99,CUST35,PROD46,REG4,2023-10-31,3673.98,4,949.43,0.1,1509.15,1246.9,26.11,Medium,2
ORD100,CUST43,PROD65,REG1,2023-12-13,2946.42,5,584.91,0.31,203.57,2675.55,499.31,Medium,1
ORD101,CUST163,PROD54,REG19,2023-10-07,2271.21,9,983.64,0.48,882.42,2569.83,255.02,Medium,1
ORD102,CUST79,PROD172,REG8,2023-01-08,2534.26,6,952.31,0.14,308.65,1572.54,415.38,High,3
ORD103,CUST68,PROD113,REG4,2023-06-09,2207.44,6,265.07,0.18,1306.14,3855.73,484.14,Low,5
ORD104,CUST171,PROD122,REG1,2023-11-15,1129.36,5,308.34,0.1,2476.54,2957.57,135.87,Medium,3
ORD105,CUST170,PROD51,REG19,2023-04-23,1211.33,8,843.48,0.32,2877.12,292.02,125.65,Medium,3
ORD106,CUST197,PROD171,REG16,2023-07-25,2341.2,3,589.04,0.45,1632.65,4583.31,485.59,Low,6
