Date_ID,Date,Year,Quarter,Quarter_Name,Month,Month_Name,Month_Short,Day,Day_of_Week,Day_Name,Week_of_Year,Is_Weekend,Is_Holiday,Fiscal_Year,Fiscal_Quarter,Month_Year,Year_Month
1,2015-01-01,2015,1,Q1,1,January,Jan,1,3,Thursday,1,0,0,2015,1,Jan 2015,201501
2,2015-01-02,2015,1,Q1,1,January,Jan,2,4,Friday,1,0,1,2015,1,Jan 2015,201501
3,2015-01-03,2015,1,Q1,1,January,Jan,3,5,Saturday,1,1,0,2015,1,Jan 2015,201501
4,2015-01-04,2015,1,Q1,1,January,Jan,4,6,Sunday,1,1,0,2015,1,Jan 2015,201501
5,2015-01-05,2015,1,Q1,1,January,Jan,5,0,Monday,2,0,0,2015,1,Jan 2015,201501
6,2015-01-06,2015,1,Q1,1,January,Jan,6,1,Tuesday,2,0,0,2015,1,Jan 2015,201501
7,2015-01-07,2015,1,Q1,1,January,Jan,7,2,Wednesday,2,0,0,2015,1,Jan 2015,201501
8,2015-01-08,2015,1,Q1,1,January,Jan,8,3,Thursday,2,0,0,2015,1,Jan 2015,201501
9,2015-01-09,2015,1,Q1,1,January,Jan,9,4,Friday,2,0,0,2015,1,Jan 2015,201501
10,2015-01-10,2015,1,Q1,1,January,Jan,10,5,Saturday,2,1,0,2015,1,Jan 2015,201501
11,2015-01-11,2015,1,Q1,1,January,Jan,11,6,Sunday,2,1,0,2015,1,Jan 2015,201501
12,2015-01-12,2015,1,Q1,1,January,Jan,12,0,Monday,3,0,1,2015,1,Jan 2015,201501
13,2015-01-13,2015,1,Q1,1,January,Jan,13,1,Tuesday,3,0,0,2015,1,Jan 2015,201501
14,2015-01-14,2015,1,Q1,1,January,Jan,14,2,Wednesday,3,0,0,2015,1,Jan 2015,201501
15,2015-01-15,2015,1,Q1,1,January,Jan,15,3,Thursday,3,0,0,2015,1,Jan 2015,201501
16,2015-01-16,2015,1,Q1,1,January,Jan,16,4,Friday,3,0,0,2015,1,Jan 2015,201501
17,2015-01-17,2015,1,Q1,1,January,Jan,17,5,Saturday,3,1,0,2015,1,Jan 2015,201501
18,2015-01-18,2015,1,Q1,1,January,Jan,18,6,Sunday,3,1,0,2015,1,Jan 2015,201501
19,2015-01-19,2015,1,Q1,1,January,Jan,19,0,Monday,4,0,0,2015,1,Jan 2015,201501
20,2015-01-20,2015,1,Q1,1,January,Jan,20,1,Tuesday,4,0,0,2015,1,Jan 2015,201501
21,2015-01-21,2015,1,Q1,1,January,Jan,21,2,Wednesday,4,0,0,2015,1,Jan 2015,201501
22,2015-01-22,2015,1,Q1,1,January,Jan,22,3,Thursday,4,0,0,2015,1,Jan 2015,201501
23,2015-01-23,2015,1,Q1,1,January,Jan,23,4,Friday,4,0,0,2015,1,Jan 2015,201501
24,2015-01-24,2015,1,Q1,1,January,Jan,24,5,Saturday,4,1,0,2015,1,Jan 2015,201501
25,2015-01-25,2015,1,Q1,1,January,Jan,25,6,Sunday,4,1,0,2015,1,Jan 2015,201501
26,2015-01-26,2015,1,Q1,1,January,Jan,26,0,Monday,5,0,0,2015,1,Jan 2015,201501
27,2015-01-27,2015,1,Q1,1,January,Jan,27,1,Tuesday,5,0,0,2015,1,Jan 2015,201501
28,2015-01-28,2015,1,Q1,1,January,Jan,28,2,Wednesday,5,0,0,2015,1,Jan 2015,201501
29,2015-01-29,2015,1,Q1,1,January,Jan,29,3,Thursday,5,0,0,2015,1,Jan 2015,201501
30,2015-01-30,2015,1,Q1,1,January,Jan,30,4,Friday,5,0,0,2015,1,Jan 2015,201501
31,2015-01-31,2015,1,Q1,1,January,Jan,31,5,Saturday,5,1,0,2015,1,Jan 2015,201501
32,2015-02-01,2015,1,Q1,2,February,Feb,1,6,Sunday,5,1,0,2015,1,Feb 2015,201502
33,2015-02-02,2015,1,Q1,2,February,Feb,2,0,Monday,6,0,0,2015,1,Feb 2015,201502
34,2015-02-03,2015,1,Q1,2,February,Feb,3,1,Tuesday,6,0,0,2015,1,Feb 2015,201502
35,2015-02-04,2015,1,Q1,2,February,Feb,4,2,Wednesday,6,0,1,2015,1,Feb 2015,201502
36,2015-02-05,2015,1,Q1,2,February,Feb,5,3,Thursday,6,0,0,2015,1,Feb 2015,201502
37,2015-02-06,2015,1,Q1,2,February,Feb,6,4,Friday,6,0,0,2015,1,Feb 2015,201502
38,2015-02-07,2015,1,Q1,2,February,Feb,7,5,Saturday,6,1,0,2015,1,Feb 2015,201502
39,2015-02-08,2015,1,Q1,2,February,Feb,8,6,Sunday,6,1,0,2015,1,Feb 2015,201502
40,2015-02-09,2015,1,Q1,2,February,Feb,9,0,Monday,7,0,0,2015,1,Feb 2015,201502
41,2015-02-10,2015,1,Q1,2,February,Feb,10,1,Tuesday,7,0,0,2015,1,Feb 2015,201502
42,2015-02-11,2015,1,Q1,2,February,Feb,11,2,Wednesday,7,0,0,2015,1,Feb 2015,201502
43,2015-02-12,2015,1,Q1,2,February,Feb,12,3,Thursday,7,0,0,2015,1,Feb 2015,201502
44,2015-02-13,2015,1,Q1,2,February,Feb,13,4,Friday,7,0,0,2015,1,Feb 2015,201502
45,2015-02-14,2015,1,Q1,2,February,Feb,14,5,Saturday,7,1,0,2015,1,Feb 2015,201502
46,2015-02-15,2015,1,Q1,2,February,Feb,15,6,Sunday,7,1,0,2015,1,Feb 2015,201502
47,2015-02-16,2015,1,Q1,2,February,Feb,16,0,Monday,8,0,0,2015,1,Feb 2015,201502
48,2015-02-17,2015,1,Q1,2,February,Feb,17,1,Tuesday,8,0,0,2015,1,Feb 2015,201502
49,2015-02-18,2015,1,Q1,2,February,Feb,18,2,Wednesday,8,0,0,2015,1,Feb 2015,201502
50,2015-02-19,2015,1,Q1,2,February,Feb,19,3,Thursday,8,0,0,2015,1,Feb 2015,201502
51,2015-02-20,2015,1,Q1,2,February,Feb,20,4,Friday,8,0,1,2015,1,Feb 2015,201502
52,2015-02-21,2015,1,Q1,2,February,Feb,21,5,Saturday,8,1,0,2015,1,Feb 2015,201502
53,2015-02-22,2015,1,Q1,2,February,Feb,22,6,Sunday,8,1,0,2015,1,Feb 2015,201502
54,2015-02-23,2015,1,Q1,2,February,Feb,23,0,Monday,9,0,0,2015,1,Feb 2015,201502
55,2015-02-24,2015,1,Q1,2,February,Feb,24,1,Tuesday,9,0,0,2015,1,Feb 2015,201502
56,2015-02-25,2015,1,Q1,2,February,Feb,25,2,Wednesday,9,0,0,2015,1,Feb 2015,201502
57,2015-02-26,2015,1,Q1,2,February,Feb,26,3,Thursday,9,0,0,2015,1,Feb 2015,201502
58,2015-02-27,2015,1,Q1,2,February,Feb,27,4,Friday,9,0,0,2015,1,Feb 2015,201502
59,2015-02-28,2015,1,Q1,2,February,Feb,28,5,Saturday,9,1,0,2015,1,Feb 2015,201502
60,2015-03-01,2015,1,Q1,3,March,Mar,1,6,Sunday,9,1,0,2015,1,Mar 2015,201503
61,2015-03-02,2015,1,Q1,3,March,Mar,2,0,Monday,10,0,0,2015,1,Mar 2015,201503
62,2015-03-03,2015,1,Q1,3,March,Mar,3,1,Tuesday,10,0,0,2015,1,Mar 2015,201503
63,2015-03-04,2015,1,Q1,3,March,Mar,4,2,Wednesday,10,0,0,2015,1,Mar 2015,201503
64,2015-03-05,2015,1,Q1,3,March,Mar,5,3,Thursday,10,0,0,2015,1,Mar 2015,201503
65,2015-03-06,2015,1,Q1,3,March,Mar,6,4,Friday,10,0,0,2015,1,Mar 2015,201503
66,2015-03-07,2015,1,Q1,3,March,Mar,7,5,Saturday,10,1,0,2015,1,Mar 2015,201503
67,2015-03-08,2015,1,Q1,3,March,Mar,8,6,Sunday,10,1,0,2015,1,Mar 2015,201503
68,2015-03-09,2015,1,Q1,3,March,Mar,9,0,Monday,11,0,0,2015,1,Mar 2015,201503
69,2015-03-10,2015,1,Q1,3,March,Mar,10,1,Tuesday,11,0,0,2015,1,Mar 2015,201503
70,2015-03-11,2015,1,Q1,3,March,Mar,11,2,Wednesday,11,0,1,2015,1,Mar 2015,201503
71,2015-03-12,2015,1,Q1,3,March,Mar,12,3,Thursday,11,0,0,2015,1,Mar 2015,201503
72,2015-03-13,2015,1,Q1,3,March,Mar,13,4,Friday,11,0,0,2015,1,Mar 2015,201503
73,2015-03-14,2015,1,Q1,3,March,Mar,14,5,Saturday,11,1,0,2015,1,Mar 2015,201503
74,2015-03-15,2015,1,Q1,3,March,Mar,15,6,Sunday,11,1,0,2015,1,Mar 2015,201503
75,2015-03-16,2015,1,Q1,3,March,Mar,16,0,Monday,12,0,0,2015,1,Mar 2015,201503
76,2015-03-17,2015,1,Q1,3,March,Mar,17,1,Tuesday,12,0,0,2015,1,Mar 2015,201503
77,2015-03-18,2015,1,Q1,3,March,Mar,18,2,Wednesday,12,0,0,2015,1,Mar 2015,201503
78,2015-03-19,2015,1,Q1,3,March,Mar,19,3,Thursday,12,0,0,2015,1,Mar 2015,201503
79,2015-03-20,2015,1,Q1,3,March,Mar,20,4,Friday,12,0,0,2015,1,Mar 2015,201503
80,2015-03-21,2015,1,Q1,3,March,Mar,21,5,Saturday,12,1,0,2015,1,Mar 2015,201503
81,2015-03-22,2015,1,Q1,3,March,Mar,22,6,Sunday,12,1,0,2015,1,Mar 2015,201503
82,2015-03-23,2015,1,Q1,3,March,Mar,23,0,Monday,13,0,0,2015,1,Mar 2015,201503
83,2015-03-24,2015,1,Q1,3,March,Mar,24,1,Tuesday,13,0,0,2015,1,Mar 2015,201503
84,2015-03-25,2015,1,Q1,3,March,Mar,25,2,Wednesday,13,0,0,2015,1,Mar 2015,201503
85,2015-03-26,2015,1,Q1,3,March,Mar,26,3,Thursday,13,0,0,2015,1,Mar 2015,201503
86,2015-03-27,2015,1,Q1,3,March,Mar,27,4,Friday,13,0,0,2015,1,Mar 2015,201503
87,2015-03-28,2015,1,Q1,3,March,Mar,28,5,Saturday,13,1,0,2015,1,Mar 2015,201503
88,2015-03-29,2015,1,Q1,3,March,Mar,29,6,Sunday,13,1,0,2015,1,Mar 2015,201503
89,2015-03-30,2015,1,Q1,3,March,Mar,30,0,Monday,14,0,0,2015,1,Mar 2015,201503
90,2015-03-31,2015,1,Q1,3,March,Mar,31,1,Tuesday,14,0,0,2015,1,Mar 2015,201503
91,2015-04-01,2015,2,Q2,4,April,Apr,1,2,Wednesday,14,0,0,2016,2,Apr 2015,201504
92,2015-04-02,2015,2,Q2,4,April,Apr,2,3,Thursday,14,0,0,2016,2,Apr 2015,201504
93,2015-04-03,2015,2,Q2,4,April,Apr,3,4,Friday,14,0,0,2016,2,Apr 2015,201504
94,2015-04-04,2015,2,Q2,4,April,Apr,4,5,Saturday,14,1,0,2016,2,Apr 2015,201504
95,2015-04-05,2015,2,Q2,4,April,Apr,5,6,Sunday,14,1,0,2016,2,Apr 2015,201504
