Employee_ID,Department_ID,Location_ID,JobRole_ID,Age,Gender,Education_ID,Years_Experience,Date_of_Joining,Joining_Date_ID,Performance_Rating,Engagement_Score,Work_Life_Balance,Salary,Attrition,Absenteeism_Days,Training_Hours,Last_Hike_Percentage,Promotion_Last_3_Years,Satisfaction_Score,Remote_Work_Percentage,Overtime_Hours,Last_Review_Date,Last_Review_Date_ID,Tenure_Years,Age_Group,Performance_Category,Salary_Per_Year_Experience,Comp_Ratio
10001,2,3,3,38,Female,1,17,2021-02-06,2229,5,4,3,573020,No,2,81,26,No,3,62,11,2021-08-21,2425,3.898699520876112,31-40,High,31834.444444444445,1.181996328307102
10002,1,3,3,21,Male,1,0,2018-08-06,1314,1,2,5,400000,No,2,23,1,No,3,45,9,2019-09-12,1716,6.403832991101985,21-30,Low,400000.0,0.8250995276305204
10003,2,3,3,28,Male,1,9,2023-01-15,2937,4,5,5,462155,No,2,97,25,No,4,64,16,2024-03-13,3360,1.9603011635865846,21-30,High,46215.5,0.9533096804802079
10004,2,4,2,44,Male,2,25,2022-04-13,2660,2,4,3,466874,No,1,42,2,No,3,68,10,2023-02-22,2975,2.7186858316221767,41-50,Low,17956.69230769231,1.2808157733743377
10005,3,3,3,21,Female,1,0,2020-08-14,2053,4,4,5,402340,No,0,69,18,No,4,41,16,2021-07-01,2374,4.380561259411362,21-30,High,402340.0,0.829926359867159
10006,4,3,2,40,Female,2,20,2021-04-26,2308,4,2,5,468807,No,6,79,15,Yes,3,58,14,2022-06-13,2721,3.682409308692676,31-40,High,22324.14285714286,1.2861187392493547
10007,6,5,5,36,Female,1,13,2023-08-23,3157,2,1,4,652729,Yes,5,93,8,No,2,24,5,2024-03-10,3357,1.3579739904175223,31-40,Low,46623.5,0.8997691747290095
10008,3,1,2,31,Female,2,9,2020-02-03,1860,2,1,4,353800,No,0,55,8,No,2,81,11,2021-06-21,2364,4.908966461327857,31-40,Low,35380.0,0.9706101016973332
10009,3,5,3,28,Female,3,8,2018-03-22,1177,3,4,4,489280,No,1,12,19,No,3,71,5,2019-02-28,1520,6.778918548939083,21-30,Medium,54364.444444444445,1.0092617421976526
10010,1,2,3,21,Female,2,2,2019-06-18,1630,4,5,3,407392,No,1,71,20,No,4,48,16,2020-05-20,1967,5.538672142368241,21-30,High,135797.33333333334,0.8403473669011324
10011,1,2,4,34,Male,1,12,2019-02-03,1495,5,3,3,353252,No,2,60,22,No,3,10,3,2020-04-14,1931,5.908281998631074,31-40,High,27173.23076923077,1.1577971006892664
10012,4,1,2,27,Male,2,7,2023-02-13,2966,2,4,4,324070,No,3,13,4,No,3,61,7,2024-02-07,3325,1.8809034907597535,21-30,Low,40508.75,0.8890492245818393
10013,3,2,2,33,Male,1,8,2023-08-17,3151,2,2,3,309905,Yes,6,55,1,No,2,48,9,2024-07-12,3481,1.374401095140315,31-40,Low,34433.88888888889,0.8501891564909894
10014,5,3,2,44,Female,3,20,2023-12-23,3279,5,3,5,486711,No,0,84,23,No,4,40,9,2024-10-08,3569,1.0239561943874058,41-50,High,23176.714285714286,1.3352363290198155
10015,2,5,2,27,Male,2,5,2022-01-17,2574,1,2,5,304622,No,4,16,1,No,3,63,11,2022-12-11,2902,2.954140999315537,21-30,Low,50770.333333333336,0.8356958462386801
10016,1,5,3,36,Female,2,16,2022-07-27,2765,3,3,3,568008,No,1,35,12,No,3,60,10,2023-06-12,3085,2.431211498973306,31-40,Medium,33412.23529411765,1.1716578312258916
10017,3,5,5,31,Female,2,12,2023-07-09,3112,5,4,4,797636,Yes,12,91,25,No,4,26,8,2024-10-01,3562,1.4811772758384667,31-40,High,61356.61538461538,1.0995195333042476
10018,2,1,1,49,Male,2,29,2016-06-19,536,4,5,2,1229769,No,10,98,26,No,3,59,2,2017-07-27,939,8.53388090349076,41-50,High,40992.3,1.2645985739229868
10019,1,5,2,29,Male,2,7,2017-04-02,823,3,1,3,359040,Yes,7,32,17,Yes,2,89,19,2018-02-24,1151,7.748117727583847,21-30,Medium,44880.0,0.9849854463352473
10020,4,2,4,30,Male,4,7,2019-09-14,1718,4,3,5,326898,No,4,94,15,Yes,4,38,3,2020-10-31,2131,5.297741273100616,21-30,High,40862.25,1.0714208458016368
10021,1,4,1,34,Female,2,12,2023-02-01,2954,3,1,2,966525,No,11,55,9,Yes,1,22,6,2024-04-19,3397,1.9137577002053388,31-40,Medium,74348.07692307692,0.9938989653023576
10022,4,1,2,24,Female,1,3,2018-03-26,1181,4,4,5,322597,No,0,71,15,No,4,82,9,2018-11-24,1424,6.767967145790554,21-30,High,80649.25,0.885008216442212
10023,2,2,4,33,Female,4,11,2017-10-08,1012,4,2,3,299938,No,0,54,29,Yes,2,40,8,2018-08-30,1338,7.230663928815879,31-40,High,24994.833333333332,0.9830584024620871
10024,2,5,5,26,Male,2,6,2019-04-10,1561,3,3,3,664043,No,0,74,17,Yes,3,34,7,2020-08-25,2064,5.727583846680356,21-30,Medium,94863.28571428571,0.9153652160308117
10025,2,5,3,24,Male,4,3,2019-09-18,1722,5,4,4,422463,No,4,41,28,No,4,75,5,2020-06-24,2002,5.286789869952088,21-30,High,105615.75,0.8714350543534314
10026,5,3,1,21,Male,4,0,2019-06-24,1636,3,5,4,844145,No,2,66,19,No,4,56,8,2020-06-18,1996,5.522245037645448,21-30,Medium,844145.0,0.8680529133391879
10027,2,3,1,24,Female,1,2,2016-07-25,572,5,5,3,953715,No,3,84,17,Yes,4,29,6,2017-09-05,979,8.435318275154003,21-30,High,317905.0,0.9807261598958515
10028,4,1,2,32,Female,2,12,2019-12-17,1812,5,4,5,433821,No,2,46,17,No,4,49,8,2020-08-25,2064,5.040383299110198,31-40,High,33370.846153846156,1.1901386233138462
10029,2,3,1,30,Female,1,5,2024-04-01,3379,2,3,4,800000,No,0,60,3,No,3,27,11,2024-11-15,3607,0.7501711156741958,21-30,Low,133333.33333333334,0.8226576366280086
10030,5,3,1,32,Female,4,11,2021-06-20,2363,5,3,2,1017749,No,14,42,29,Yes,3,22,3,2022-11-16,2877,3.5318275154004106,31-40,High,84812.41666666667,1.0465737337756489
10031,2,1,3,29,Male,2,4,2020-03-17,1903,2,2,4,447372,No,2,26,11,No,2,79,9,2020-10-21,2121,4.791238877481177,21-30,Low,89474.4,0.922816064687803
10032,4,1,4,21,Female,2,0,2017-04-26,847,3,4,5,256888,No,3,59,11,No,4,48,10,2018-03-08,1163,7.682409308692677,21-30,Medium,256888.0,0.8419603614469677
10033,4,1,4,52,Male,2,27,2020-05-16,1963,4,3,4,366052,No,3,96,26,No,3,30,5,2021-06-23,2366,4.6269678302532515,51-60,High,13073.285714285714,1.1997495960433553
10034,6,3,1,34,Male,1,13,2022-07-08,2746,5,5,2,1013873,No,5,44,20,Yes,3,33,4,2023-04-02,3014,2.4832306639288158,31-40,High,72419.5,1.0425879575261863
10035,2,1,2,38,Male,1,16,2018-03-25,1180,4,4,4,416445,No,2,72,29,Yes,4,87,7,2019-05-18,1599,6.770704996577686,31-40,High,24496.764705882353,1.1424695415527018
10036,1,2,4,31,Male,2,11,2021-02-08,2231,5,3,5,359067,No,1,78,26,No,4,22,4,2022-03-29,2645,3.893223819301848,31-40,High,29922.25,1.176855988227081
10037,1,2,3,25,Other,1,3,2020-05-01,1948,4,5,3,404895,No,3,70,21,No,4,55,8,2020-12-13,2174,4.6680355920602326,21-30,High,101223.75,0.8351966830998989
10038,5,3,4,42,Male,3,18,2015-07-02,183,4,4,3,388930,No,3,89,24,No,3,47,12,2016-11-09,679,9.500342231348391,41-50,High,20470.0,1.2747331264113901
10039,3,3,5,36,Male,1,15,2024-04-22,3400,2,4,4,761568,Yes,9,50,6,No,3,58,9,2024-10-18,3579,0.6926762491444216,31-40,Low,47598.0,1.0498007762180357
10040,5,3,4,30,Female,1,10,2023-06-23,3096,5,5,3,297466,No,1,61,21,No,4,40,5,2024-01-03,3290,1.5249828884325805,21-30,High,27042.363636363636,0.9749563267968286
10041,2,2,3,23,Female,3,0,2022-10-24,2854,5,5,3,437614,No,6,69,19,No,4,84,14,2024-01-03,3290,2.187542778918549,21-30,High,437614.0,0.9026877617112564
10042,2,2,2,32,Male,2,9,2015-01-23,23,4,5,5,378973,No,2,49,20,No,4,59,7,2016-05-10,496,9.938398357289527,31-40,High,37897.3,1.039669367073328
10043,1,2,2,40,Male,4,16,2021-11-10,2506,3,2,4,384590,Yes,8,49,16,No,3,63,13,2022-06-13,2721,3.14031485284052,31-40,Medium,22622.941176470587,1.0550789683769852
10044,6,4,3,28,Other,2,5,2018-11-19,1419,5,5,5,494442,No,1,88,21,Yes,5,71,12,2019-11-28,1793,6.116358658453114,21-30,High,82407.0,1.0199096516017245
10045,4,1,2,32,Male,2,11,2020-09-27,2097,5,5,5,374842,No,5,54,15,No,5,75,13,2022-02-22,2610,4.26009582477755,31-40,High,31236.833333333332,1.0283364379322548
10046,6,1,4,31,Female,2,8,2018-08-25,1333,5,5,4,311576,No,2,95,23,No,4,35,3,2019-04-30,1581,6.351813826146475,31-40,High,34619.555555555555,1.0212023978473126
